n_sets,b_size,assoc,repl,cache_size,instructions_used,load_stores,ul1_hits,ul1_misses
2,16,2,l,64,40369883,14844749,24144446,31181570
2,16,4,l,128,40369883,14844749,27884704,27441312
2,16,8,l,256,40369883,14844749,30981941,24344075
2,16,16,l,512,40369883,14844749,34089466,21236550
2,16,32,l,1024,40369883,14844749,37466194,17859822
2,16,64,l,2048,40369883,14844749,41621766,13704250
2,16,128,l,4096,40369883,14844749,44693090,10632926
2,16,256,l,8192,40369883,14844749,47093058,8232958
2,16,512,l,16384,40369883,14844749,51957289,3368727
2,16,1024,l,32768,40369883,14844749,53283651,2042365
4,16,2,l,128,40369883,14844749,27639580,27686436
4,16,4,l,256,40369883,14844749,30932478,24393538
4,16,8,l,512,40369883,14844749,33974650,21351366
4,16,16,l,1024,40369883,14844749,37535774,17790242
4,16,32,l,2048,40369883,14844749,41656776,13669240
4,16,64,l,4096,40369883,14844749,44698520,10627496
4,16,128,l,8192,40369883,14844749,47112868,8213148
4,16,256,l,16384,40369883,14844749,51962765,3363251
4,16,512,l,32768,40369883,14844749,53284862,2041154
4,16,1024,l,65536,40369883,14844749,54138524,1187492
8,16,2,l,256,40369883,14844749,30733566,24592450
8,16,4,l,512,40369883,14844749,33858164,21467852
8,16,8,l,1024,40369883,14844749,37507811,17818205
8,16,16,l,2048,40369883,14844749,41620653,13705363
8,16,32,l,4096,40369883,14844749,44668729,10657287
8,16,64,l,8192,40369883,14844749,47136330,8189686
8,16,128,l,16384,40369883,14844749,51947526,3378490
8,16,256,l,32768,40369883,14844749,53284194,2041822
8,16,512,l,65536,40369883,14844749,54138709,1187307
8,16,1024,l,131072,40369883,14844749,54772882,553134
16,16,2,l,512,40369883,14844749,33626451,21699565
16,16,4,l,1024,40369883,14844749,37398380,17927636
16,16,8,l,2048,40369883,14844749,41580197,13745819
16,16,16,l,4096,40369883,14844749,44658956,10667060
16,16,32,l,8192,40369883,14844749,47226043,8099973
16,16,64,l,16384,40369883,14844749,51922132,3403884
16,16,128,l,32768,40369883,14844749,53284113,2041903
16,16,256,l,65536,40369883,14844749,54138444,1187572
16,16,512,l,131072,40369883,14844749,54772945,553071
16,16,1024,l,262144,40369883,14844749,55084976,241040
32,16,2,l,1024,40369883,14844749,36976983,18349033
32,16,4,l,2048,40369883,14844749,41280505,14045511
32,16,8,l,4096,40369883,14844749,44548751,10777265
32,16,16,l,8192,40369883,14844749,47296244,8029772
32,16,32,l,16384,40369883,14844749,51785007,3541009
32,16,64,l,32768,40369883,14844749,53286326,2039690
32,16,128,l,65536,40369883,14844749,54136965,1189051
32,16,256,l,131072,40369883,14844749,54772216,553800
32,16,512,l,262144,40369883,14844749,55084847,241169
32,16,1024,l,524288,40369883,14844749,55267059,58957
64,16,2,l,2048,40369883,14844749,40552635,14773381
64,16,4,l,4096,40369883,14844749,44222349,11103667
64,16,8,l,8192,40369883,14844749,47355476,7970540
64,16,16,l,16384,40369883,14844749,51680333,3645683
64,16,32,l,32768,40369883,14844749,53281016,2045000
64,16,64,l,65536,40369883,14844749,54135260,1190756
64,16,128,l,131072,40369883,14844749,54770484,555532
64,16,256,l,262144,40369883,14844749,55085211,240805
64,16,512,l,524288,40369883,14844749,55267102,58914
64,16,1024,l,1048576,40369883,14844749,55272953,53063
128,16,2,l,4096,40369883,14844749,43917524,11408492
128,16,4,l,8192,40369883,14844749,47350739,7975277
128,16,8,l,16384,40369883,14844749,51303389,4022627
128,16,16,l,32768,40369883,14844749,53258381,2067635
128,16,32,l,65536,40369883,14844749,54131248,1194768
128,16,64,l,131072,40369883,14844749,54767491,558525
128,16,128,l,262144,40369883,14844749,55087121,238895
128,16,256,l,524288,40369883,14844749,55266781,59235
128,16,512,l,1048576,40369883,14844749,55272953,53063
128,16,1024,l,2097152,40369883,14844749,55272953,53063
256,16,2,l,8192,40369883,14844749,46796399,8529617
256,16,4,l,16384,40369883,14844749,50675591,4650425
256,16,8,l,32768,40369883,14844749,53134782,2191234
256,16,16,l,65536,40369883,14844749,54099867,1226149
256,16,32,l,131072,40369883,14844749,54756131,569885
256,16,64,l,262144,40369883,14844749,55078438,247578
256,16,128,l,524288,40369883,14844749,55266850,59166
256,16,256,l,1048576,40369883,14844749,55272953,53063
256,16,512,l,2097152,40369883,14844749,55272953,53063
256,16,1024,l,4194304,40369883,14844749,55272953,53063
512,16,2,l,16384,40369883,14844749,50037328,5288688
512,16,4,l,32768,40369883,14844749,52973048,2352968
512,16,8,l,65536,40369883,14844749,54069725,1256291
512,16,16,l,131072,40369883,14844749,54737947,588069
512,16,32,l,262144,40369883,14844749,55073681,252335
512,16,64,l,524288,40369883,14844749,55266392,59624
512,16,128,l,1048576,40369883,14844749,55272953,53063
512,16,256,l,2097152,40369883,14844749,55272953,53063
512,16,512,l,4194304,40369883,14844749,55272953,53063
512,16,1024,l,8388608,40369883,14844749,55272953,53063
1024,16,2,l,32768,40369883,14844749,52086461,3239555
1024,16,4,l,65536,40369883,14844749,53947000,1379016
1024,16,8,l,131072,40369883,14844749,54704265,621751
1024,16,16,l,262144,40369883,14844749,55068830,257186
1024,16,32,l,524288,40369883,14844749,55265586,60430
1024,16,64,l,1048576,40369883,14844749,55272953,53063
1024,16,128,l,2097152,40369883,14844749,55272953,53063
1024,16,256,l,4194304,40369883,14844749,55272953,53063
1024,16,512,l,8388608,40369883,14844749,55272953,53063
1024,16,1024,l,16777216,40369883,14844749,55272953,53063
